lower_edge_binvalue,bin_width,flux_value
1e-09,2.6e-10,1.38517e-05
1.26e-09,3.2e-10,2.1317e-05
1.58e-09,4.2e-10,3.27971e-05
2e-09,5.1e-10,5.03818e-05
2.51e-09,6.5e-10,7.71781e-05
3.16e-09,8.2e-10,0.000117719
3.98e-09,1.03e-09,0.00017846
5.01e-09,1.3e-09,0.000268316
6.31e-09,1.63e-09,0.000399011
7.94e-09,2.06e-09,0.000585035
1e-08,2.6e-09,0.000842206
1.26e-08,3.2e-09,0.00118479
1.58e-08,4.2e-09,0.00161823
2e-08,5.1e-09,0.00212934
2.51e-08,6.5e-09,0.00267325
3.16e-08,8.2e-09,0.00316359
3.98e-08,1.03e-08,0.00347673
5.01e-08,1.3e-08,0.00348413
6.31e-08,1.63e-08,0.00311617
7.94e-08,2.06e-08,0.00243075
1e-07,2.6e-08,0.00162576
1.26e-07,3.2e-08,0.000947916
1.58e-07,4.2e-08,0.000542762
2e-07,5.1e-08,0.000386936
2.51e-07,6.5e-08,0.000364727
3.16e-07,8.2e-08,0.000383685
3.98e-07,1.03e-07,0.000407587
5.01e-07,1.3e-07,0.000429145
6.31e-07,1.63e-07,0.000447792
7.94e-07,2.06e-07,0.000463774
1e-06,2.6e-07,0.000477415
1.26e-06,3.2e-07,0.000489073
1.58e-06,4.2e-07,0.000499071
2e-06,5.1e-07,0.000507705
2.51e-06,6.5e-07,0.000515234
3.16e-06,8.2e-07,0.000521875
3.98e-06,1.03e-06,0.000527804
5.01e-06,1.3e-06,0.000533168
6.31e-06,1.63e-06,0.000538082
7.94e-06,2.06e-06,0.00054264
1e-05,2.6e-06,0.000546915
1.26e-05,3.2e-06,0.000550969
1.58e-05,4.2e-06,0.000554849
2e-05,5.1e-06,0.000558593
2.51e-05,6.5e-06,0.000562232
3.16e-05,8.2e-06,0.000565796
3.98e-05,1.03e-05,0.000569305
5.01e-05,1.3e-05,0.000572782
6.31e-05,1.63e-05,0.000576247
7.94e-05,2.06e-05,0.000579718
0.0001,2.5897e-05,0.000583214
0.000125897,3.2591e-05,0.000586755
0.000158488,4.1041e-05,0.000590364
0.000199529,5.1662e-05,0.000594065
0.000251191,6.5038e-05,0.000597883
0.000316229,8.1881e-05,0.000601851
0.00039811,0.00010308,0.000606002
0.00050119,0.000129765,0.000610378
0.000630955,0.00016338,0.000615025
0.000794335,0.000205665,0.000619997
0.001,0.00025896,0.00062536
0.00125896,0.00032592,0.000631184
0.00158488,0.00041041,0.00063756
0.00199529,0.00051662,0.000644586
0.00251191,0.00065039,0.000652381
0.0031623,0.0008188,0.000661085
0.0039811,0.0010308,0.000670862
0.0050119,0.00129765,0.000681902
0.00630955,0.0016338,0.000694433
0.00794335,0.00205665,0.000708718
0.01,0.0025886,0.000725068
0.0125886,0.0032603,0.000743865
0.0158489,0.004104,0.000765534
0.0199529,0.0051663,0.000790593
0.0251192,0.0065037,0.00081965
0.0316229,0.0081881,0.000853429
0.039811,0.010308,0.000892775
0.050119,0.0129765,0.000938689
0.0630955,0.016337,0.000992345
0.0794325,0.0205675,0.00105511
0.1,0.025886,0.00112851
0.125886,0.032602,0.00121438
0.158488,0.041041,0.00131459
0.199529,0.051662,0.00143114
0.251191,0.065038,0.00156592
0.316229,0.081881,0.00172039
0.39811,0.10308,0.00189506
0.50119,0.129775,0.00208868
0.630965,0.16336,0.00229715
0.794325,0.205675,0.00251227
1,0.25886,0.00272022
1.25886,0.32603,0.00290127
1.58489,0.4104,0.00303002
1.99529,0.51662,0.00307954
2.51191,0.65039,0.00302849
3.1623,0.8188,0.00287131
3.9811,1.0308,0.00262756
5.0119,1.29765,0.00234372
6.30955,1.6338,0.0020812
7.94335,2.05665,0.00189217
10,2.5897,0.00179724
12.5897,3.2592,0.00178407
15.8489,4.1039,0.00183066
19.9528,5.1663,0.00193358
25.1191,6.5038,0.00211798
31.6229,8.1881,0.00242448
39.811,10.308,0.00288168
50.119,12.9765,0.0034741
63.0955,16.338,0.00412075
79.4335,20.5665,0.00468273
100,25.887,0.00500788
125.887,32.601,0.00499168
158.488,41.04,0.00461924
199.528,51.663,0.00396532
251.191,65.038,0.0031592
316.229,81.881,0.00234264
398.11,103.08,0.00163379
501.19,129.775,0.00109672
630.965,163.37,0.000732013
794.335,205.665,0.000499468
1000,258.86,0.000352078
1258.86,326.03,0.000254903
1584.89,410.39,0.000187427
1995.28,516.64,0.000138668
2511.92,650.38,0.0001027
3162.3,818.8,7.59792e-05
3981.1,1030.8,5.61212e-05
5011.9,1297.75,4.13897e-05
6309.65,1633.7,3.04863e-05
7943.35,2056.65,2.24318e-05
