lower_edge_binvalue,bin_width,flux_value
1e-09,2.6e-10,1.98967e-05
1.26e-09,3.2e-10,3.06113e-05
1.58e-09,4.2e-10,4.70849e-05
2e-09,5.1e-10,7.23149e-05
2.51e-09,6.5e-10,0.000110756
3.16e-09,8.2e-10,0.000168909
3.98e-09,1.03e-09,0.000256031
5.01e-09,1.3e-09,0.000384902
6.31e-09,1.63e-09,0.000572335
7.94e-09,2.06e-09,0.000839106
1e-08,2.6e-09,0.00120789
1.26e-08,3.2e-09,0.00169916
1.58e-08,4.2e-09,0.00232072
2e-08,5.1e-09,0.00305365
2.51e-08,6.5e-09,0.0038337
3.16e-08,8.2e-09,0.00453704
3.98e-08,1.03e-08,0.00498646
5.01e-08,1.3e-08,0.00499773
6.31e-08,1.63e-08,0.00447101
7.94e-08,2.06e-08,0.00348933
1e-07,2.6e-08,0.0023363
1.26e-07,3.2e-08,0.00136556
1.58e-07,4.2e-08,0.000785689
2e-07,5.1e-08,0.00056318
2.51e-07,6.5e-08,0.000532144
3.16e-07,8.2e-08,0.000560047
3.98e-07,1.03e-07,0.000594958
5.01e-07,1.3e-07,0.000626427
6.31e-07,1.63e-07,0.000653646
7.94e-07,2.06e-07,0.000676975
1e-06,2.6e-07,0.000696887
1.26e-06,3.2e-07,0.000713905
1.58e-06,4.2e-07,0.000728499
2e-06,5.1e-07,0.000741102
2.51e-06,6.5e-07,0.000752093
3.16e-06,8.2e-07,0.000761786
3.98e-06,1.03e-06,0.000770442
5.01e-06,1.3e-06,0.000778272
6.31e-06,1.63e-06,0.000785445
7.94e-06,2.06e-06,0.000792099
1e-05,2.6e-06,0.00079834
1.26e-05,3.2e-06,0.000804259
1.58e-05,4.2e-06,0.000809923
2e-05,5.1e-06,0.000815389
2.51e-05,6.5e-06,0.000820704
3.16e-05,8.2e-06,0.000825907
3.98e-05,1.03e-05,0.000831033
5.01e-05,1.3e-05,0.000836112
6.31e-05,1.63e-05,0.000841174
7.94e-05,2.06e-05,0.000846246
0.0001,2.5897e-05,0.000851356
0.000125897,3.2591e-05,0.000856534
0.000158488,4.1041e-05,0.000861813
0.000199529,5.1662e-05,0.000867228
0.000251191,6.5038e-05,0.000872819
0.000316229,8.1881e-05,0.000878632
0.00039811,0.00010308,0.000884719
0.00050119,0.000129765,0.000891139
0.000630955,0.00016338,0.000897965
0.000794335,0.000205665,0.000905276
0.001,0.00025896,0.00091317
0.00125896,0.00032592,0.000921754
0.00158488,0.00041041,0.000931163
0.00199529,0.00051662,0.000941548
0.00251191,0.00065039,0.000953087
0.0031623,0.0008188,0.000965994
0.0039811,0.0010308,0.000980517
0.0050119,0.00129765,0.000996946
0.00630955,0.0016338,0.00101563
0.00794335,0.00205665,0.00103698
0.01,0.0025886,0.00106146
0.0125886,0.0032603,0.00108967
0.0158489,0.004104,0.00112226
0.0199529,0.0051663,0.00116003
0.0251192,0.0065037,0.00120394
0.0316229,0.0081881,0.00125508
0.039811,0.010308,0.00131479
0.050119,0.0129765,0.00138457
0.0630955,0.016337,0.00146623
0.0794325,0.0205675,0.00156181
0.1,0.025886,0.00167354
0.125886,0.032602,0.00180402
0.158488,0.041041,0.00195572
0.199529,0.051662,0.00213106
0.251191,0.065038,0.0023319
0.316229,0.081881,0.00255894
0.39811,0.10308,0.00281078
0.50119,0.129775,0.00308273
0.630965,0.16336,0.0033653
0.794325,0.205675,0.00364285
1,0.25886,0.00389239
1.25886,0.32603,0.00408439
1.58489,0.4104,0.004185
1.99529,0.51662,0.00416306
2.51191,0.65039,0.00399984
3.1623,0.8188,0.00370076
3.9811,1.0308,0.0033035
5.0119,1.29765,0.0028751
6.30955,1.6338,0.00249316
7.94335,2.05665,0.00221647
10,2.5897,0.00206201
12.5897,3.2592,0.00200859
15.8489,4.1039,0.00202638
19.9528,5.1663,0.00210841
25.1191,6.5038,0.00227932
31.6229,8.1881,0.00257957
39.811,10.308,0.00303605
50.119,12.9765,0.0036296
63.0955,16.338,0.00427458
79.4335,20.5665,0.00482829
100,25.887,0.00513734
125.887,32.601,0.00509888
158.488,41.04,0.00470157
199.528,51.663,0.00402394
251.191,65.038,0.00319791
316.229,81.881,0.00236642
398.11,103.08,0.00164752
501.19,129.775,0.00110436
630.965,163.37,0.000736228
794.335,205.665,0.000501848
1000,258.86,0.000353465
1258.86,326.03,0.000255734
1584.89,410.39,0.000187933
1995.28,516.64,0.000138977
2511.92,650.38,0.000102889
3162.3,818.8,7.60949e-05
3981.1,1030.8,5.61919e-05
5011.9,1297.75,4.14328e-05
6309.65,1633.7,3.05126e-05
7943.35,2056.65,2.24478e-05
