entry,rf_value
1,0.00425021
2,0.00318766
3,0.0021251
4,0.00531276
5,0.00531276
6,0.00425021
7,0.00318766
8,0.0021251
9,0.00531276
10,0.0021251
11,0.00318766
12,0.00425021
13,0.0021251
14,0.0021251
15,0.00425021
16,0.00425021
17,0.0021251
18,0.00425021
19,0.00637531
20,0.00425021
21,0.00743786
22,0.00531276
23,0.00318766
24,0.00531276
25,0.0021251
26,0.00637531
27,0.00531276
28,0.00637531
29,0.00531276
30,0.00850042
31,0.00637531
32,0.00743786
33,0.00637531
34,0.0021251
35,0.00318766
36,0.0021251
37,0.00637531
38,0.0106255
39,0.00425021
40,0.00531276
41,0.0021251
42,0.0116881
43,0.00531276
44,0.00743786
45,0.0106255
46,0.00743786
47,0.00637531
48,0.0106255
49,0.00743786
50,0.00637531
51,0.00531276
52,0.00425021
53,0.00531276
54,0.00637531
55,0.00531276
56,0.00743786
57,0.0106255
58,0.00531276
59,0.0106255
60,0.0116881
61,0.00637531
62,0.0116881
63,0.00956297
64,0.0116881
65,0.00850042
66,0.00850042
67,0.0106255
68,0.00425021
69,0.0127506
70,0.0159383
71,0.0127506
72,0.0106255
73,0.0116881
74,0.0201885
75,0.0106255
76,0.0127506
77,0.0138132
78,0.0191259
79,0.0106255
80,0.0159383
81,0.0127506
82,0.0265638
83,0.0244387
84,0.0393144
85,0.0361268
86,0.0329391
87,0.0552527
88,0.052065
89,0.0722535
90,0.121131
91,0.191259
92,0.311328
93,0.482399
94,0.644969
95,0.846854
96,1.0583
97,1.54814
98,1.94872
99,2.29086
100,2.48106
101,2.80407
102,3.03252
103,3.1069
104,3.13665
105,3.31941
106,3.54999
107,3.75506
108,4.06426
109,4.59341
110,5.17038
111,5.70165
112,6.34025
113,7.20835
114,8.38247
115,9.37065
116,10.6616
117,12.5689
118,15.1573
119,18.3269
120,21.8195
121,25.9677
122,30.3688
123,35.6231
124,41.72
125,48.989
126,56.1197
127,64.1835
128,71.8721
129,81.7102
130,92.9149
131,106.877
132,116.717
133,124.413
134,130.168
135,140.797
136,160.753
137,183.306
138,208.743
139,238.918
140,274.073
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
