entry,rf_value
1,0.011416
2,0.0105027
3,0.0100461
4,0.0109594
5,0.0141558
6,0.0136992
7,0.0168957
8,0.0223754
9,0.0196355
10,0.0214621
11,0.0232886
12,0.0219187
13,0.0232886
14,0.0214621
15,0.0191789
16,0.0191789
17,0.0205488
18,0.0182656
19,0.0187222
20,0.0159824
21,0.0187222
22,0.0191789
23,0.0173523
24,0.0205488
25,0.0210054
26,0.0205488
27,0.0264851
28,0.0191789
29,0.017809
30,0.0173523
31,0.017809
32,0.0191789
33,0.0187222
34,0.0168957
35,0.0187222
36,0.016439
37,0.0141558
38,0.0141558
39,0.0118726
40,0.0159824
41,0.0141558
42,0.0168957
43,0.0155258
44,0.0127859
45,0.0146125
46,0.0182656
47,0.0205488
48,0.0187222
49,0.0196355
50,0.0187222
51,0.0232886
52,0.0219187
53,0.0328781
54,0.0296816
55,0.0296816
56,0.0287683
57,0.0374445
58,0.0379011
59,0.0420109
60,0.0488605
61,0.0547968
62,0.0552534
63,0.068496
64,0.063473
65,0.0639296
66,0.0858483
67,0.0940678
68,0.0881315
69,0.0945245
70,0.106854
71,0.119183
72,0.134709
73,0.136079
74,0.152518
75,0.181286
76,0.189962
77,0.231973
78,0.251609
79,0.303666
80,0.354353
81,0.492715
82,0.594545
83,0.768525
84,1.02333
85,1.31695
86,1.76491
87,2.30603
88,3.05446
89,3.75541
90,4.91025
91,5.93449
92,7.04915
93,8.24464
94,9.11682
95,9.88945
96,10.5571
97,11.0069
98,11.1617
99,11.0918
100,10.3781
101,9.98626
102,9.50587
103,8.75607
104,7.74598
105,6.61808
106,5.62991
107,4.81116
108,4.2463
109,3.74719
110,3.22616
111,2.94259
112,2.73893
113,2.59509
114,2.51563
115,2.49599
116,2.61015
117,2.99784
118,3.53211
119,4.01021
120,4.36594
121,4.53261
122,4.87737
123,5.3331
124,5.59156
125,5.97605
126,6.29844
127,6.93134
128,7.4994
129,8.12134
130,8.55013
131,9.05837
132,9.20038
133,9.20358
134,8.82639
135,8.7716
136,9.31135
137,9.78077
138,10.6014
139,11.2425
140,11.9704
141,13.0005
142,13.8567
143,14.8906
144,16.0272
145,17.2108
146,18.7277
147,20.2433
148,21.8703
149,23.6352
150,25.3938
