entry,rf_value
1,0.0124
2,0.010416
3,0.0124
4,0.012896
5,0.011408
6,0.010912
7,0.014384
8,0.010912
9,0.016368
10,0.01488
11,0.016864
12,0.01488
13,0.021328
14,0.020832
15,0.01984
16,0.018848
17,0.024304
18,0.019344
19,0.017856
20,0.021328
21,0.01736
22,0.021824
23,0.018848
24,0.020336
25,0.018352
26,0.018848
27,0.01736
28,0.018848
29,0.023808
30,0.023808
31,0.020832
32,0.021328
33,0.024304
34,0.021328
35,0.02232
36,0.025296
37,0.016864
38,0.023808
39,0.020336
40,0.021328
41,0.02232
42,0.02232
43,0.019344
44,0.01736
45,0.023808
46,0.023808
47,0.023312
48,0.025296
49,0.022816
50,0.020832
51,0.028272
52,0.020832
53,0.021328
54,0.027776
55,0.0248
56,0.026784
57,0.026784
58,0.033728
59,0.026288
60,0.027776
61,0.035216
62,0.033232
63,0.030256
64,0.038688
65,0.03472
66,0.043648
67,0.036704
68,0.037696
69,0.046128
70,0.047616
71,0.048608
72,0.06448
73,0.063488
74,0.065472
75,0.078368
76,0.083824
77,0.085312
78,0.094736
79,0.132432
80,0.16616
81,0.18352
82,0.269824
83,0.365552
84,0.512368
85,0.763344
86,1.14328
87,1.79354
88,2.80091
89,4.18574
90,6.3617
91,9.04208
92,12.6624
93,16.8496
94,21.7764
95,27.2993
96,31.9984
97,37.947
98,42.9005
99,46.0293
100,46.4182
101,45.9122
102,44.2159
103,41.1144
104,36.1267
105,30.6548
106,25.478
107,21.0016
108,17.547
109,14.7719
110,12.6708
111,11.1213
112,9.82328
113,8.91064
114,8.34272
115,8.30651
116,8.49003
117,9.30347
118,10.6873
119,11.8817
120,12.6683
121,13.0741
122,14.0041
123,14.9078
124,15.8318
125,16.3913
126,17.1755
127,17.9165
128,18.5901
129,19.1506
130,19.8157
131,20.5929
132,20.8256
133,20.3658
134,19.3867
135,19.2384
136,20.0761
137,20.9272
138,21.8949
139,23.0828
140,24.2643
141,25.8813
142,27.1744
143,28.6167
144,30.3612
145,32.0391
146,33.8659
147,36.0592
148,38.4241
149,41.0539
150,43.6267
