entry,rf_value
1,195.107
2,198.139
3,200.486
4,202.016
5,202.678
6,202.397
7,201.249
8,199.041
9,195.921
10,191.809
11,186.793
12,180.956
13,174.371
14,167.138
15,159.47
16,151.341
17,142.979
18,134.409
19,125.922
20,117.442
21,109.069
22,101.06
23,93.2229
24,85.7102
25,78.6387
26,71.9196
27,65.6091
28,59.7402
29,54.2479
30,49.2521
31,44.5372
32,40.4148
33,36.3762
34,32.8365
35,29.5146
36,26.6779
37,23.8429
38,21.5247
39,19.2038
40,17.3068
41,15.4318
42,13.8925
43,12.3476
44,11.061
45,9.86885
46,8.81046
47,7.89457
48,7.01405
49,6.29967
50,5.59673
51,5.01592
52,4.44132
53,3.98944
54,3.52336
55,3.15227
56,2.78606
57,2.48586
58,2.20591
59,1.96527
60,1.73826
61,1.52834
62,1.36825
63,1.20325
64,1.0738
65,0.942987
66,0.838305
67,0.73515
68,0.654647
69,0.563615
70,0.502287
71,0.439205
72,0.381452
73,0.333515
74,0.290452
75,0.250965
76,0.223567
77,0.19539
78,0.168642
79,0.14612
80,0.12324
81,0.108777
82,0.093795
83,0.08164
84,0.0720525
85,0.066235
86,0.0636675
87,0.0598325
88,0.05837
89,0.0559
90,0.0556725
91,0.05525
92,0.0535925
93,0.0551525
94,0.0487825
95,0.04225
96,0.0349375
97,0.026455
98,0.0221
99,0.016185
100,0.0125775
101,0.01001
102,0.0083525
103,0.0069875
104,0.0020475
105,0.001755
106,0.001625
107,0.0011375
108,0.000975
109,0.0010725
110,0.00104
111,0.000845
112,0.0009425
113,0.000845
114,0.000585
115,0.000975
116,0.0010075
117,0.000975
118,0.0010075
119,0.0008775
120,0.0013325
121,0.0018525
122,0.00156
123,0.0018525
124,0.00182
125,0.00182
126,0.001625
127,0.001885
128,0.0015275
129,0.0012025
130,0.0015275
131,0.001755
132,0.0014625
133,0.001365
134,0.0010075
135,0.000975
136,0.0010075
137,0.00182
138,0.00156
139,0.0015925
140,0.00143
141,0.000975
142,0.0015275
143,0.0013325
144,0.0012675
145,0.001365
146,0.0012675
147,0.0017875
148,0.0015925
149,0.001885
150,0.00195
