entry,rf_value
1,20.7273
2,21.1149
3,21.533
4,22.0778
5,22.6758
6,23.3316
7,24.2272
8,25.0926
9,26.3428
10,27.8846
11,29.3643
12,30.9815
13,32.6987
14,34.2522
15,36.3314
16,38.7458
17,41.5783
18,45.0518
19,49.4374
20,54.7903
21,61.044
22,67.0653
23,71.2894
24,74.0853
25,78.9775
26,83.6315
27,87.0286
28,90.477
29,93.6638
30,96.5757
31,98.8922
32,101.07
33,103.009
34,104.984
35,106.413
36,107.622
37,108.571
38,109.288
39,109.399
40,109.556
41,109.392
42,109.222
43,108.714
44,108.237
45,107.647
46,107.008
47,106.367
48,105.451
49,104.638
50,103.672
51,102.602
52,101.563
53,100.459
54,99.303
55,98.0513
56,96.7298
57,95.4208
58,94.4582
59,93.1193
60,91.7262
61,90.6175
62,89.2995
63,88.0461
64,86.7316
65,85.3146
66,84.0456
67,82.7096
68,81.4167
69,80.2033
70,78.7545
71,77.6399
72,76.5697
73,75.4096
74,74.1309
75,73.0418
76,72.0784
77,70.8765
78,69.6732
79,68.4204
80,67.1721
81,65.8581
82,64.3224
83,62.4149
84,60.1429
85,57.6979
86,54.6222
87,51.3694
88,47.7586
89,43.7514
90,39.567
91,35.3961
92,30.9423
93,26.7432
94,22.5691
95,18.7523
96,15.3804
97,12.5809
98,10.4105
99,8.01082
100,5.9524
101,4.90088
102,4.07891
103,3.46707
104,2.44683
105,1.94992
106,1.59584
107,1.3086
108,1.1091
109,0.952831
110,0.838681
111,0.748467
112,0.690884
113,0.642559
114,0.634204
115,0.616816
116,0.658254
117,0.708949
118,0.822986
119,0.917942
120,0.963783
121,1.00104
122,1.03503
123,1.08866
124,1.12377
125,1.12355
126,1.10706
127,1.07963
128,0.989864
129,0.981735
130,0.98309
131,1.00567
132,1.0077
133,0.955992
134,0.938265
135,0.920313
136,0.935556
137,0.958024
138,0.981396
139,1.0208
140,1.05038
141,1.07511
142,1.11406
143,1.1564
144,1.1739
145,1.24752
146,1.2937
147,1.38707
148,1.39137
149,1.43404
150,1.51737
