entry,rf_value
1,2.7303
2,2.77591
3,2.84765
4,2.82152
5,2.9765
6,3.03539
7,3.15938
8,3.24307
9,3.38166
10,3.59686
11,3.74697
12,3.90063
13,4.11893
14,4.44615
15,4.6184
16,4.96556
17,5.29633
18,5.73337
19,6.43123
20,7.04096
21,7.81985
22,8.59696
23,9.34042
24,9.7385
25,10.3651
26,11.2755
27,11.7581
28,12.355
29,13.0205
30,13.5864
31,14.1541
32,14.6252
33,15.2943
34,15.8252
35,16.384
36,16.6896
37,17.4113
38,17.6961
39,18.3049
40,18.5484
41,18.9492
42,19.3149
43,19.8529
44,20.2577
45,20.642
46,21.0055
47,21.5316
48,21.9035
49,22.1431
50,22.6165
51,22.9641
52,23.3741
53,23.75
54,23.913
55,24.2894
56,24.8592
57,25.2157
58,25.3702
59,25.7413
60,26.0455
61,26.3962
62,26.9448
63,27.3779
64,27.3642
65,28.0731
66,28.294
67,28.6252
68,28.9202
69,29.463
70,29.9877
71,30.6019
72,30.9513
73,31.5043
74,32.1083
75,32.9231
76,34.0217
77,34.9573
78,36.3468
79,37.5933
80,39.4663
81,41.4155
82,43.9957
83,47.0798
84,50.3583
85,54.3453
86,58.9168
87,63.6702
88,68.7739
89,73.9489
90,79.3254
91,83.9341
92,88.3864
93,90.9387
94,90.4649
95,87.0886
96,81.1861
97,81.4765
98,76.8285
99,68.5481
100,58.7241
101,51.3466
102,44.4483
103,38.1813
104,31.5367
105,25.8166
106,20.7186
107,16.9216
108,14.3383
109,12.3045
110,10.6564
111,9.45334
112,8.71519
113,8.10767
114,7.86856
115,7.75077
116,8.14841
117,9.13806
118,10.5993
119,12.0619
120,12.8102
121,13.4239
122,14.205
123,15.0273
124,15.8651
125,16.3358
126,16.8729
127,17.6248
128,17.708
129,18.5121
130,19.0625
131,19.6156
132,19.609
133,19.3805
134,18.2115
135,18.0335
136,18.8465
137,19.5337
138,20.4915
139,21.5807
140,22.4756
141,23.5831
142,25.0412
143,26.0597
144,27.6763
145,29.3594
146,30.6794
147,32.5715
148,34.712
149,36.7989
150,39.117
