entry,rf_value
1,0.009282
2,0.007497
3,0.010353
4,0.010353
5,0.013566
6,0.011781
7,0.012495
8,0.015708
9,0.01428
10,0.015351
11,0.012138
12,0.013209
13,0.011781
14,0.012495
15,0.01428
16,0.016065
17,0.017136
18,0.01785
19,0.016779
20,0.014994
21,0.012495
22,0.017493
23,0.019992
24,0.019635
25,0.017136
26,0.022491
27,0.020349
28,0.019635
29,0.023205
30,0.020349
31,0.021063
32,0.022134
33,0.019278
34,0.019278
35,0.019635
36,0.017136
37,0.019635
38,0.018207
39,0.023562
40,0.015351
41,0.018921
42,0.022848
43,0.02142
44,0.018921
45,0.025347
46,0.021063
47,0.022491
48,0.021063
49,0.023205
50,0.026418
51,0.020706
52,0.022134
53,0.030702
54,0.029988
55,0.03213
56,0.029631
57,0.033558
58,0.036414
59,0.036057
60,0.036771
61,0.037485
62,0.039984
63,0.043554
64,0.046053
65,0.050694
66,0.054978
67,0.058191
68,0.066402
69,0.066402
70,0.075327
71,0.083181
72,0.08211
73,0.091749
74,0.111741
75,0.124593
76,0.131019
77,0.162078
78,0.182427
79,0.225624
80,0.275604
81,0.350574
82,0.441966
83,0.647598
84,0.918204
85,1.29984
86,1.93173
87,2.846
88,4.26044
89,5.98903
90,8.54015
91,11.3865
92,15.0379
93,18.9278
94,23.2364
95,27.0106
96,30.3029
97,34.0442
98,36.2184
99,36.6885
100,35.9096
101,34.1952
102,32.015
103,28.7032
104,24.1064
105,20.0698
106,16.3442
107,13.31
108,10.9188
109,9.15348
110,7.74226
111,6.67376
112,5.90299
113,5.3475
114,4.98301
115,4.81129
116,4.88412
117,5.42747
118,6.18145
119,6.86475
120,7.17998
121,7.48272
122,7.99751
123,8.47197
124,8.92357
125,9.34626
126,9.56403
127,9.95673
128,10.056
129,10.3173
130,10.534
131,11.1006
132,10.9763
133,10.7004
134,10.077
135,9.96601
136,10.4173
137,10.9267
138,11.2548
139,11.9763
140,12.4075
141,13.1465
142,13.7756
143,14.3336
144,15.2118
145,16.0432
146,16.9639
147,17.8514
148,19.0235
149,20.3369
150,21.4446
