Emid,Ewid,Elower,Eupper
1.13E-09,2.59E-10,1.00E-09,1.27E-09
1.42E-09,3.26E-10,1.27E-09,1.60E-09
1.79E-09,4.10E-10,1.60E-09,2.01E-09
2.25E-09,5.17E-10,2.01E-09,2.53E-09
2.84E-09,6.50E-10,2.53E-09,3.18E-09
3.57E-09,8.19E-10,3.18E-09,4.01E-09
4.50E-09,1.03E-09,4.01E-09,5.05E-09
5.66E-09,1.30E-09,5.05E-09,6.35E-09
7.13E-09,1.63E-09,6.35E-09,8.00E-09
8.97E-09,2.06E-09,8.00E-09,1.01E-08
1.13E-08,2.59E-09,1.01E-08,1.27E-08
1.42E-08,3.26E-09,1.27E-08,1.60E-08
1.79E-08,4.10E-09,1.60E-08,2.01E-08
2.25E-08,5.17E-09,2.01E-08,2.53E-08
2.84E-08,6.50E-09,2.53E-08,3.18E-08
3.57E-08,8.19E-09,3.18E-08,4.01E-08
4.50E-08,1.03E-08,4.01E-08,5.05E-08
5.66E-08,1.30E-08,5.05E-08,6.35E-08
7.13E-08,1.63E-08,6.35E-08,8.00E-08
8.97E-08,2.06E-08,8.00E-08,1.01E-07
1.13E-07,2.59E-08,1.01E-07,1.27E-07
1.42E-07,3.26E-08,1.27E-07,1.60E-07
1.79E-07,4.10E-08,1.60E-07,2.01E-07
2.25E-07,5.17E-08,2.01E-07,2.53E-07
2.84E-07,6.50E-08,2.53E-07,3.18E-07
3.57E-07,8.19E-08,3.18E-07,4.01E-07
4.50E-07,1.03E-07,4.01E-07,5.05E-07
5.66E-07,1.30E-07,5.05E-07,6.35E-07
7.13E-07,1.63E-07,6.35E-07,8.00E-07
8.97E-07,2.06E-07,8.00E-07,1.01E-06
1.13E-06,2.59E-07,1.01E-06,1.27E-06
1.42E-06,3.26E-07,1.27E-06,1.60E-06
1.79E-06,4.10E-07,1.60E-06,2.01E-06
2.25E-06,5.17E-07,2.01E-06,2.53E-06
2.84E-06,6.50E-07,2.53E-06,3.18E-06
